file,roundId,optionId,word,imageId
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1109,278,"kiraz",278
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1109,171,"çilek",171
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1109,88,"üzüm",88
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1109,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1110,279,"ananas",279
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1110,170,"karpuz",170
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1110,114,"muz",114
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1110,295,"kavun",295
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1111,295,"kavun",295
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1111,170,"karpuz",170
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1111,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1111,115,"portakal",115
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1112,333,"şeftali",333
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1112,43,"elma",43
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1112,365,"armut",365
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enFruitsData.ts,1112,115,"portakal",115
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1911,536,"dal",536
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1911,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1912,536,"dal",536
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1912,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1913,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1913,536,"dal",536
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1915,316,"tohum",316
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1916,536,"dal",536
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1916,886,"dal",886
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1917,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1917,27,"pamuk",27
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1917,536,"dal",536
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enNaturalObjectsData.ts,1918,117,"yaprak",117
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1891,84,"öğretmen",84
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1891,547,"çocuk",547
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1891,579,"bebek",579
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1891,325,"polis",325
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1892,547,"çocuk",547
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1892,579,"bebek",579
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1892,701,"nine",701
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1892,578,"dede",578
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1893,579,"bebek",579
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1893,547,"çocuk",547
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1893,701,"nine",701
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1893,477,"aile",477
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1894,477,"aile",477
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1894,547,"çocuk",547
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1894,701,"nine",701
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1894,578,"dede",578
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1895,701,"nine",701
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1895,578,"dede",578
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1895,579,"bebek",579
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1895,547,"çocuk",547
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1896,578,"dede",578
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1896,701,"nine",701
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1896,828,"baba",828
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1896,477,"aile",477
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1897,314,"kral",314
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1897,313,"kraliçe",313
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1897,578,"dede",578
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1897,325,"polis",325
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1898,313,"kraliçe",313
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1898,314,"kral",314
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1898,701,"nine",701
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPeopleData.ts,1898,84,"öğretmen",84
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1811,10,"ağaç",10
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1811,309,"gül",309
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1811,281,"kaktüs",281
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1811,434,"çim",434
C:\Users\kaano\OneDrive\Desktop\final3\src\services\database\activities\objects\enPlantsData.ts,1812,309,"gül",309
